run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,threshold_fix_applied,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_food_rain_0.5_4,245541e0e7fe4635b6cf88f8920feaa0,acled_event_food_rain,True,True,False,False,False,0.5,False,4,event_type,0.3837,13,0.3347,0.3439,0.6750,0.4557,0.3923,0.3296,0.6312,0.4331,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,event_type
acled_event_food_rain_0.5_5,7cb5acac434e4c3398a40c6f47d26cc0,acled_event_food_rain,True,True,False,False,False,0.5,False,5,event_type,0.3242,13,0.3387,0.3522,0.7000,0.4686,0.3711,0.3187,0.7730,0.4513,0.6,1,2,3,5,0,0.05,5,0.6,1.0,0.5,5,event_type
acled_sub_food_rain_0.75_4,7ac84111860b454fa20ad1827dad322b,acled_sub_food_rain,True,True,False,False,False,0.75,False,4,sub_event_type,0.3501,31,0.3691,0.3459,0.6133,0.4423,0.3393,0.2950,0.7193,0.4184,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.75,4,sub_event_type
acled_sub_food_rain_0.75_5,2776dc5e0fb6405ca6b56d470a0e9c67,acled_sub_food_rain,True,True,False,False,False,0.75,False,5,sub_event_type,0.3811,31,0.3806,0.3846,0.5333,0.4469,0.3162,0.2915,0.5702,0.3858,0.6,1,1,3,5,0,0.1,5,0.6,1.0,0.75,5,sub_event_type
acled_event_food_rain_0.75_4,528963f612dd4cccb1e81e04d78e302c,acled_event_food_rain,True,True,False,False,False,0.75,False,4,event_type,0.4578,13,0.3285,0.3503,0.7333,0.4741,0.3603,0.2520,0.8246,0.3860,0.6,10,0.1,1,3,1,0.01,5,0.6,0.8,0.75,4,event_type
acled_event_food_rain_0.75_5,e45b56d73a0a4c6d87af57dfbfe287fe,acled_event_food_rain,True,True,False,False,False,0.75,False,5,event_type,0.3289,13,0.3419,0.3529,0.8000,0.4898,0.3779,0.2668,0.9035,0.4120,0.8,5,2,5,7,5,0.05,5,1.0,0.6,0.75,5,event_type
acled_sub_food_rain_1_4,651b6494bdd2451ead2416e01b2c6352,acled_sub_food_rain,True,True,False,False,False,1,False,4,sub_event_type,0.3432,31,0.3213,0.3178,0.5152,0.3931,0.3273,0.2708,0.6701,0.3858,0.6,1,2,5,3,0,0.1,3,1.0,0.8,1,4,sub_event_type
acled_sub_food_rain_1_5,59e7a6492bd549dd9581ca9bbdd5f100,acled_sub_food_rain,True,True,False,False,False,1,False,5,sub_event_type,0.0995,31,0.3268,0.2941,0.8333,0.4348,0.3102,0.2508,0.8247,0.3846,1.0,1,0.1,3,3,5,0.1,1,0.6,1.0,1,5,sub_event_type
acled_event_food_rain_1_4,46383b09aef14f0192aa76b47197d123,acled_event_food_rain,True,True,False,False,False,1,False,4,event_type,0.2826,13,0.3020,0.3022,0.6364,0.4098,0.3428,0.2417,0.8247,0.3738,0.6,10,1,1,5,5,0.1,3,0.8,0.8,1,4,event_type
acled_event_food_rain_1_5,c8366cc54d3049409901f03166d49e41,acled_event_food_rain,True,True,False,False,False,1,False,5,event_type,0.0927,13,0.3058,0.2888,0.8182,0.4269,0.3387,0.2313,0.9588,0.3727,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,1,5,event_type
acled_sub_food_text_conflict_pca_0.5_4,0b2788368bfb46af884f82bc82bce468,acled_sub_food_text_conflict,True,False,True,True,True,0.5,False,4,sub_event_type,0.1909,55,0.3931,0.3704,1.0000,0.5405,0.3501,0.3264,1.0000,0.4921,0.6,10,0.1,3,3,1,0.03,1,1.0,0.6,0.5,4,sub_event_type
acled_sub_food_text_conflict_0.5_4,e583815985434550a2024d9d46c15939,acled_sub_food_text_conflict,True,False,True,True,False,0.5,False,4,sub_event_type,0.3003,799,0.4373,0.3704,1.0000,0.5405,0.3536,0.3264,1.0000,0.4921,0.6,5,1,1,5,1,0.01,5,0.8,1.0,0.5,4,sub_event_type
acled_sub_food_text_conflict_pca_0.5_5,90346f6f72de48758a12567b6e0c74b1,acled_sub_food_text_conflict,True,False,True,True,True,0.5,False,5,sub_event_type,0.0912,55,0.4162,0.3846,1.0000,0.5556,0.3498,0.3310,1.0000,0.4974,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.5,5,sub_event_type
acled_sub_food_text_conflict_0.5_5,3ee251e99343456aa5c1b05615f672ed,acled_sub_food_text_conflict,True,False,True,True,False,0.5,False,5,sub_event_type,0.3340,799,0.3709,0.3781,0.9500,0.5409,0.3377,0.3298,0.8723,0.4786,1.0,1,2,3,3,5,0.01,3,0.6,1.0,0.5,5,sub_event_type
acled_sub_food_text_all_pca_0.5_4,8085ca4e355846568447235182b49de5,acled_sub_food_text_all,True,False,True,False,True,0.5,False,4,sub_event_type,0.1360,81,0.3234,0.3709,0.9875,0.5392,0.3355,0.3248,0.9858,0.4886,1.0,5,0,1,7,5,0.1,3,0.6,0.6,0.5,4,sub_event_type
acled_sub_food_text_all_0.5_4,bca564181f4c49aca316ffe424975d3d,acled_sub_food_text_all,True,False,True,False,False,0.5,False,4,sub_event_type,0.0378,799,0.3764,0.3704,1.0000,0.5405,0.3526,0.3264,1.0000,0.4921,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.5,4,sub_event_type
acled_sub_food_text_all_pca_0.5_5,ccd8b28158ef4774b26ef021514e5444,acled_sub_food_text_all,True,False,True,False,True,0.5,False,5,sub_event_type,0.0658,81,0.3599,0.3704,1.0000,0.5405,0.3416,0.3264,1.0000,0.4921,1.0,1,0,5,7,5,0.03,0,0.6,1.0,0.5,5,sub_event_type
acled_sub_food_text_all_0.5_5,11e4ff44189c41a59d20574f7c86e467,acled_sub_food_text_all,True,False,True,False,False,0.5,False,5,sub_event_type,0.3093,799,0.3708,0.3704,1.0000,0.5405,0.3320,0.3264,1.0000,0.4921,0.6,1,0,1,3,1,0.01,1,0.6,1.0,0.5,5,sub_event_type
acled_event_food_text_conflict_pca_0.5_4,d0329ef138ba449a9bd928dfa4cd36bc,acled_event_food_text_conflict,True,False,True,True,True,0.5,False,4,event_type,0.1683,37,0.3842,0.3704,1.0000,0.5405,0.3555,0.3264,1.0000,0.4921,0.6,10,1,1,5,5,0.1,3,0.8,0.8,0.5,4,event_type
acled_event_food_text_conflict_0.5_4,9681eacfe1ca4476bfde4bb4b44a2759,acled_event_food_text_conflict,True,False,True,True,False,0.5,False,4,event_type,0.2204,781,0.4325,0.3674,0.9875,0.5356,0.3714,0.3264,1.0000,0.4921,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,event_type
acled_event_food_text_conflict_pca_0.5_5,e4176956e6f846fea2cd70273857ae95,acled_event_food_text_conflict,True,False,True,True,True,0.5,False,5,event_type,0.2506,37,0.4120,0.3636,0.9000,0.5180,0.3410,0.3387,0.9007,0.4922,1.0,10,0,5,7,5,0.03,1,0.8,1.0,0.5,5,event_type
acled_event_food_text_conflict_0.5_5,7b42bd79893848899ee68ac68042c4fc,acled_event_food_text_conflict,True,False,True,True,False,0.5,False,5,event_type,0.0886,781,0.4528,0.3704,1.0000,0.5405,0.3443,0.3264,1.0000,0.4921,0.6,1,1,1,3,1,0.05,3,0.8,0.8,0.5,5,event_type
acled_event_food_text_all_pca_0.5_4,3639ccc1fd6744bb99b5ec7994e12f92,acled_event_food_text_all,True,False,True,False,True,0.5,False,4,event_type,0.0551,63,0.3405,0.3704,1.0000,0.5405,0.3515,0.3264,1.0000,0.4921,0.6,5,2,5,7,0,0.1,1,0.6,0.6,0.5,4,event_type
