run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_food_rain_text_conflict_pca_1_4,1321338b6320445baee5b294afd56265,acled_event_food_rain_text_conflict,TRUE,TRUE,TRUE,TRUE,TRUE,1,4,event_type,0.3624,38,0.3327,0.3191,0.6818,0.4348,0.3468,0.3,0.6724,0.4149,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,4,event_type
acled_event_food_rain_text_all_pca_1_4,82823f0965734a2f94ea1333f47ad9ac,acled_event_food_rain_text_all,TRUE,TRUE,TRUE,FALSE,TRUE,1,4,event_type,0.0624,57,0.31,0.3056,1,0.4681,0.3404,0.2685,1,0.4234,0.8,10,1,5,7,1,0.1,3,1,1,1,4,event_type
acled_sub_food_rain_0.25_4,789f30d471394c76962dacd5bd9c1527,acled_sub_food_rain,TRUE,TRUE,FALSE,FALSE,FALSE,0.25,4,sub_event_type,0.3733,31,0.4276,0.4146,0.9341,0.5743,0.4234,0.4327,0.9783,0.6,0.6,10,0,5,7,0,0.05,5,1,1,0.25,4,sub_event_type
acled_event_food_rain_0.25_4,7c8821421f914f179f42a1b3e8359a79,acled_event_food_rain,TRUE,TRUE,FALSE,FALSE,FALSE,0.25,4,event_type,0.3932,13,0.3837,0.4213,1,0.5928,0.4471,0.4259,1,0.5974,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.25,4,event_type
acled_sub_food_rain_0.5_4,4f3964356074440dac2ac4758f1e1605,acled_sub_food_rain,TRUE,TRUE,FALSE,FALSE,FALSE,0.5,4,sub_event_type,0.346,31,0.3446,0.3404,0.8,0.4776,0.3936,0.4021,0.9512,0.5652,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,sub_event_type
acled_event_food_rain_0.5_4,25ee35a4204342f299990331f7fd2fac,acled_event_food_rain,TRUE,TRUE,FALSE,FALSE,FALSE,0.5,4,event_type,0.3837,13,0.3347,0.3439,0.675,0.4557,0.3948,0.374,0.5976,0.4601,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,event_type
acled_sub_food_rain_1_4,e3fd8c2a6eb642b1ba0ffdb3c8b6a04a,acled_sub_food_rain,TRUE,TRUE,FALSE,FALSE,FALSE,1,4,sub_event_type,0.3432,31,0.3213,0.3178,0.5152,0.3931,0.3693,0.3246,0.6379,0.4302,0.6,1,2,5,3,0,0.1,3,1,0.8,1,4,sub_event_type
acled_event_food_rain_1_4,1fd01f06ade44560a86a9731d49b9737,acled_event_food_rain,TRUE,TRUE,FALSE,FALSE,FALSE,1,4,event_type,0.2826,13,0.302,0.3022,0.6364,0.4098,0.3606,0.2953,0.7586,0.4251,0.6,10,1,1,5,5,0.1,3,0.8,0.8,1,4,event_type
acled_sub_food_text_conflict_pca_0.25_4,e4879781a7834c1bb919023800062fd5,acled_sub_food_text_conflict,TRUE,FALSE,TRUE,TRUE,TRUE,0.25,4,sub_event_type,0.2507,55,0.4954,0.4213,1,0.5928,0.4162,0.4259,1,0.5974,0.6,10,2,5,5,1,0.05,1,0.8,0.6,0.25,4,sub_event_type
acled_sub_food_text_all_pca_0.25_4,227d273192094c27a124b1e487fc9cbd,acled_sub_food_text_all,TRUE,FALSE,TRUE,FALSE,TRUE,0.25,4,sub_event_type,0.099,74,0.4234,0.4252,1,0.5967,0.4127,0.4259,1,0.5974,0.6,1,1,1,3,0,0.1,1,0.6,0.8,0.25,4,sub_event_type
