run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_food_text_all_1_4,ff4705a906454e9b859bfe447bb34515,acled_sub_food_text_all,False,True,False,True,False,False,1,4,sub_event_type,0.1280,799,0.3498,0.3161,0.9242,0.4710,0.2606,0.2302,0.9588,0.3713,0.6,10,1,1,5,5,0.1,1,0.6,0.8,1,4,sub_event_type
acled_sub_food_text_all_pca_1_5,0d500ab990834238904eff3f9f2574ed,acled_sub_food_text_all,False,True,False,True,False,True,1,5,sub_event_type,0.0294,81,0.3401,0.3056,1.0000,0.4681,0.2795,0.2256,1.0000,0.3681,0.6,1,0,3,3,1,0.1,0,0.8,1.0,1,5,sub_event_type
acled_sub_food_text_all_1_5,1617e78f25cb49eabe0ef38d99dbfa98,acled_sub_food_text_all,False,True,False,True,False,False,1,5,sub_event_type,0.2202,799,0.3418,0.3056,1.0000,0.4681,0.2741,0.2245,1.0000,0.3667,1.0,1,1,5,5,5,0.01,0,1.0,1.0,1,5,sub_event_type
acled_event_food_text_conflict_pca_1_4,b7f50f90f5e24ecb8bc921c10f795e85,acled_event_food_text_conflict,False,True,False,True,True,True,1,4,event_type,0.4189,37,0.3474,0.3168,0.9697,0.4776,0.3153,0.2310,1.0000,0.3752,0.8,10,1,5,3,1,0.01,0,0.6,1.0,1,4,event_type
acled_event_food_text_conflict_1_4,826be4f90cf34d159a27da460f1c91f7,acled_event_food_text_conflict,False,True,False,True,True,False,1,4,event_type,0.3757,781,0.4274,0.3526,0.9242,0.5105,0.3367,0.2427,0.9381,0.3856,0.6,10,2,1,3,5,0.03,1,0.6,0.8,1,4,event_type
acled_event_food_text_conflict_pca_1_5,9d92a09c14a542e6b4a2ac1fde87c827,acled_event_food_text_conflict,False,True,False,True,True,True,1,5,event_type,0.2479,37,0.3759,0.3261,0.9091,0.4800,0.3142,0.2324,0.9897,0.3765,0.6,10,0.1,1,7,0,0.03,0,0.8,1.0,1,5,event_type
acled_event_food_text_conflict_1_5,02731b77dd294a9c930d82185ceec5d8,acled_event_food_text_conflict,False,True,False,True,True,False,1,5,event_type,0.2964,781,0.3829,0.3087,0.6970,0.4279,0.2760,0.2358,0.7732,0.3614,0.6,5,2,1,5,1,0.05,1,0.6,0.6,1,5,event_type
acled_event_food_text_all_pca_1_4,39f2613d344f4d8bbdd1bb898930c66d,acled_event_food_text_all,False,True,False,True,False,True,1,4,event_type,0.1182,63,0.3067,0.2896,0.8030,0.4257,0.2662,0.2345,0.7010,0.3514,0.6,1,1,1,3,0,0.1,1,0.6,0.8,1,4,event_type
acled_event_food_text_all_1_4,6f01155ead30496e937da729f009f6db,acled_event_food_text_all,False,True,False,True,False,False,1,4,event_type,0.0486,781,0.2994,0.3069,0.9394,0.4627,0.3243,0.2493,0.9485,0.3948,1.0,1,0.1,3,3,5,0.1,1,0.6,1.0,1,4,event_type
acled_event_food_text_all_pca_1_5,927946f807494a1788268fa17d96a219,acled_event_food_text_all,False,True,False,True,False,True,1,5,event_type,0.0454,63,0.2995,0.3070,1.0000,0.4698,0.2853,0.2272,1.0000,0.3702,0.6,1,1,3,5,0,0.1,5,0.6,1.0,1,5,event_type
acled_event_food_text_all_1_5,1bd97b0735d24ef0bdbc347797d50a3d,acled_event_food_text_all,False,True,False,True,False,False,1,5,event_type,0.0335,781,0.2778,0.3056,1.0000,0.4681,0.2586,0.2261,1.0000,0.3688,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,1,5,event_type
acled_sub_food_0.25_4,6842c8b4b4c34104a5b7ef7541b7dcbe,acled_sub_food,False,True,False,False,False,False,0.25,4,sub_event_type,0.4129,30,0.4508,0.4206,0.9890,0.5902,0.3846,0.3712,1.0000,0.5415,0.8,10,2,3,7,5,0.03,5,1.0,0.8,0.25,4,sub_event_type
acled_sub_food_0.25_5,e5b61e0bdf314701bafd4d86c2de17b0,acled_sub_food,False,True,False,False,False,False,0.25,5,sub_event_type,0.3821,30,0.4536,0.4233,1.0000,0.5948,0.4032,0.3704,1.0000,0.5405,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.25,5,sub_event_type
acled_event_food_0.25_4,bf334b4ae3994568af4fbfc878993700,acled_event_food,False,True,False,False,False,False,0.25,4,event_type,0.1294,12,0.4222,0.4213,1.0000,0.5928,0.4300,0.3704,1.0000,0.5405,0.8,1,1,3,3,1,0.1,3,1.0,0.6,0.25,4,event_type
acled_event_food_0.25_5,edcdab09c489413886c81f831b2499b4,acled_event_food,False,True,False,False,False,False,0.25,5,event_type,0.2012,12,0.4309,0.4206,0.9890,0.5902,0.4028,0.3706,0.9938,0.5399,1.0,5,0,3,3,0,0.1,1,1.0,0.8,0.25,5,event_type
acled_sub_food_0.5_4,f9bd4288b8da45298889c7065b16f0e1,acled_sub_food,False,True,False,False,False,False,0.5,4,sub_event_type,0.3564,30,0.3912,0.3704,1.0000,0.5405,0.3628,0.3264,1.0000,0.4921,0.6,10,2,5,3,0,0.01,1,0.6,0.8,0.5,4,sub_event_type
acled_sub_food_0.5_5,99b35241fce04861aac2f4075ae5e549,acled_sub_food,False,True,False,False,False,False,0.5,5,sub_event_type,0.2287,30,0.3952,0.3636,0.8000,0.5000,0.3588,0.3181,0.8865,0.4682,0.8,10,1,5,7,1,0.1,3,1.0,1.0,0.5,5,sub_event_type
acled_event_food_0.5_4,6793a4388aa9468593f7b5bb9f766d0b,acled_event_food,False,True,False,False,False,False,0.5,4,event_type,0.1361,12,0.3860,0.3674,0.9875,0.5356,0.3536,0.3264,1.0000,0.4921,0.8,1,0.1,3,7,5,0.05,5,0.8,0.8,0.5,4,event_type
acled_event_food_0.5_5,65ba4fc30922418681489a95075294c1,acled_event_food,False,True,False,False,False,False,0.5,5,event_type,0.3151,12,0.3860,0.3503,0.6875,0.4641,0.3536,0.3621,0.6241,0.4583,0.8,1,0.1,3,7,5,0.05,5,0.8,0.8,0.5,5,event_type
acled_sub_food_1_4,a76e27b26de34d9280f2828a118aeaf2,acled_sub_food,False,True,False,False,False,False,1,4,sub_event_type,0.0656,30,0.3585,0.3158,1.0000,0.4800,0.3287,0.2360,1.0000,0.3819,1.0,5,0,1,3,5,0.1,0,1.0,0.6,1,4,sub_event_type
acled_sub_food_1_5,7755970a243b4c459ab44575dd0947b0,acled_sub_food,False,True,False,False,False,False,1,5,sub_event_type,0.0560,30,0.3510,0.3113,1.0000,0.4748,0.3477,0.2293,1.0000,0.3731,0.8,1,0.1,3,5,5,0.05,1,1.0,0.8,1,5,sub_event_type
acled_event_food_1_4,947606d504df4e0897507ea33ad6675f,acled_event_food,False,True,False,False,False,False,1,4,event_type,0.3355,12,0.3210,0.3036,0.7727,0.4359,0.3579,0.2319,0.9588,0.3735,0.8,10,2,1,7,5,0.03,1,0.6,0.6,1,4,event_type
acled_event_food_1_5,94556d75615748ec9eac7626b2803c13,acled_event_food,False,True,False,False,False,False,1,5,event_type,0.2863,12,0.3213,0.3121,0.6667,0.4251,0.3102,0.2471,0.8660,0.3844,0.6,10,2,1,7,0,0.05,0,0.8,1.0,1,5,event_type
acled_sub_rain_text_conflict_pca_0.25_4,38d1141cd9724286ac35ee92a96c1594,acled_sub_rain_text_conflict,False,False,True,True,True,True,0.25,4,sub_event_type,0.3828,53,0.3981,0.3885,0.6703,0.4919,0.3746,0.3739,0.7688,0.5031,0.6,10,0,1,3,5,0.05,3,1.0,0.6,0.25,4,sub_event_type
acled_sub_rain_text_conflict_0.25_4,eb76ee3b78204d7d976c7b68bd2cbdfd,acled_sub_rain_text_conflict,False,False,True,True,True,False,0.25,4,sub_event_type,0.4274,797,0.4632,0.4213,1.0000,0.5928,0.3813,0.3712,1.0000,0.5415,0.8,10,2,3,3,5,0.01,5,0.8,0.8,0.25,4,sub_event_type
