run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,train_cv_aupr,train_cv_f1,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,price_recency
acled_sub_text_all_threshold_change_pca_1_5,c02981eb4d144882ac0a3b7b0eeafee5,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,5,sub_event_type,0.0283,78,0.2192,0.3327,0.3303,0.3056,1,0.4681,0.264,0.2245,1,0.3667,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,1,5,sub_event_type,FALSE
acled_sub_text_all_threshold_change_1_5,0c080f2dad35489da73ddb4207180323,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,5,sub_event_type,0.0409,796,0.2227,0.333,0.3109,0.3056,1,0.4681,0.2812,0.2245,1,0.3667,0.8,10,1,5,7,1,0.1,3,1,1,1,5,sub_event_type,FALSE
acled_event_text_conflict_threshold_change_pca_1_4,7c46c988216f42cabb14c8740606446a,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,4,event_type,0.3423,34,0.2398,0.335,0.348,0.3417,0.6212,0.4409,0.3309,0.266,0.5567,0.36,0.6,5,2,1,5,1,0.05,1,0.6,0.6,1,4,event_type,FALSE
acled_event_text_conflict_threshold_change_1_4,7a2c0d1e486d4b3e8af0f4582402213b,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,4,event_type,0.4025,778,0.2587,0.3398,0.3811,0.3267,1,0.4925,0.2972,0.2326,1,0.3774,0.8,10,2,3,3,5,0.01,5,0.8,0.8,1,4,event_type,FALSE
acled_event_text_conflict_threshold_change_pca_1_5,8ad7dca446754cd2b7836cdac79a6e4f,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,5,event_type,0.2702,34,0.2403,0.339,0.327,0.345,0.8939,0.4979,0.2934,0.2665,0.9175,0.413,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,1,5,event_type,FALSE
acled_event_text_conflict_threshold_change_1_5,80a988e880ca4324b4b1088ea0d05aad,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,5,event_type,0.349,778,0.2413,0.3369,0.3544,0.375,0.5,0.4286,0.2733,0.2857,0.3299,0.3062,0.8,10,1,5,7,1,0.1,3,0.6,0.8,1,5,event_type,FALSE
acled_event_text_all_threshold_change_pca_1_4,1215874c11a9456491171278b4b46f5e,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,4,event_type,0.1362,60,0.226,0.3287,0.2941,0.307,1,0.4698,0.2864,0.2266,1,0.3695,0.6,5,1,5,7,1,0.05,0,0.6,0.6,1,4,event_type,FALSE
acled_event_text_all_threshold_change_1_4,83e8e0e915834658a5b1cfc6c7bc6049,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,4,event_type,0.2418,778,0.2227,0.3443,0.3266,0.3037,0.9848,0.4643,0.2704,0.2256,1,0.3681,1,1,0,5,7,5,0.01,0,0.6,1,1,4,event_type,FALSE
acled_event_text_all_threshold_change_pca_1_5,a873a7dabdff44f8af090ecf39b1b1b7,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,5,event_type,0.1321,60,0.2206,0.3337,0.2785,0.3005,0.9697,0.4588,0.2887,0.2266,1,0.3695,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,5,event_type,FALSE
acled_event_text_all_threshold_change_1_5,d52d4a4663024a17831f55e6ef75155b,acled_event_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,5,event_type,0.1131,778,0.2277,0.3487,0.2831,0.299,0.9242,0.4519,0.2759,0.237,0.9897,0.3825,0.6,1,2,5,3,0,0.1,3,1,0.8,1,5,event_type,FALSE
acled_sub_text_conflict_threshold_change_pca_1.25_4,da25deef142045e9b0421e0481751210,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1.25,4,sub_event_type,0.5487,52,0.26,0.3427,0.3423,0.1429,0.0161,0.029,0.2653,0.1538,0.0235,0.0408,0.6,5,2,5,5,0,0.1,5,0.6,1,1.25,4,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_1.25_4,b4505791e7a64ea2b62f7d8a05ab1e4d,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1.25,4,sub_event_type,0.3296,796,0.2811,0.3203,0.3667,0.3368,0.5161,0.4076,0.2795,0.25,0.4353,0.3176,1,10,1,5,3,0,0.05,5,0.8,1,1.25,4,sub_event_type,FALSE
