run_folder,run_name,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,food,rain,text,conflict_text,pca,k,n
5ba03020ccfe4bb3981ebd981b708bf2,acled_sub_food_text_conflict_0.25_5,0.092,800,0.4572,0.4213,1.0,0.5928,0.4497,0.4259,1.0,0.5974,True,False,True,True,False,0.25,5
1352391dd2054de1ab0a48d8ca12cf4e,acled_sub_food_text_all_pca_0.25_4,0.1158,75,0.4534,0.4213,1.0,0.5928,0.4103,0.4259,1.0,0.5974,True,False,True,False,True,0.25,4
5a88b6b7572c45ac9f47e537861e309e,acled_sub_food_text_all_0.25_4,0.2138,800,0.4486,0.4203,0.956,0.5839,0.3691,0.4233,0.9891,0.5928,True,False,True,False,False,0.25,4
c9e916c671624235a6854dd4fe296c99,acled_sub_food_text_all_pca_0.25_5,0.2219,75,0.4441,0.4213,1.0,0.5928,0.4228,0.4259,1.0,0.5974,True,False,True,False,True,0.25,5
7557aae43af84a71aeac809c9bebfb45,acled_sub_food_text_all_0.25_5,0.1898,800,0.4632,0.4213,1.0,0.5928,0.4383,0.4259,1.0,0.5974,True,False,True,False,False,0.25,5
a887c9b5bc4b48859b5c1197e8d6b21b,acled_event_food_text_conflict_pca_0.25_4,0.1806,38,0.4686,0.4233,1.0,0.5948,0.4449,0.4252,0.9891,0.5948,True,False,True,True,True,0.25,4
5f5a9b2c19544b4882ed5182fa1a8711,acled_event_food_text_conflict_0.25_4,0.1833,782,0.4349,0.4252,1.0,0.5967,0.435,0.4279,1.0,0.5993,True,False,True,True,False,0.25,4
41ba5e14cb6444d789f83ea422172d93,acled_event_food_text_conflict_pca_0.25_5,0.1924,38,0.4378,0.4213,1.0,0.5928,0.4492,0.4259,1.0,0.5974,True,False,True,True,True,0.25,5
9f93bbe8ca1c4721bb048237dba46b41,acled_event_food_text_conflict_0.25_5,0.1128,782,0.4364,0.4213,1.0,0.5928,0.4629,0.4259,1.0,0.5974,True,False,True,True,False,0.25,5
cede444b66a143ad9b30ba84c9046ef6,acled_event_food_text_all_pca_0.25_4,0.196,57,0.4231,0.4213,1.0,0.5928,0.4642,0.4259,1.0,0.5974,True,False,True,False,True,0.25,4
f92264d757f14116b09da5a69acb7ad9,acled_event_food_text_all_0.25_4,0.0624,782,0.4973,0.4213,1.0,0.5928,0.4493,0.4259,1.0,0.5974,True,False,True,False,False,0.25,4
3dce8e2c2a814ad5b3a724b12ce3b791,acled_event_food_text_all_pca_0.25_5,0.1333,57,0.4519,0.4213,1.0,0.5928,0.4516,0.4259,1.0,0.5974,True,False,True,False,True,0.25,5
de14efb3ad2d44e394befab8f2ef6601,acled_event_food_text_all_0.25_5,0.2464,782,0.4194,0.4213,1.0,0.5928,0.4411,0.4259,1.0,0.5974,True,False,True,False,False,0.25,5
ef22332aecb741bf9f3d719842258746,acled_sub_food_text_conflict_pca_0.5_4,0.1131,56,0.3941,0.3704,1.0,0.5405,0.4107,0.3796,1.0,0.5503,True,False,True,True,True,0.5,4
6eae1cba9a5f4644a7549cd77765e753,acled_sub_food_text_conflict_0.5_4,0.2379,800,0.4217,0.3704,1.0,0.5405,0.3985,0.3814,1.0,0.5522,True,False,True,True,False,0.5,4
7041cdf6aeff46d7bdf22d421f52a392,acled_sub_food_text_conflict_pca_0.5_5,0.0706,56,0.3886,0.3744,0.9875,0.543,0.3951,0.3951,0.9878,0.5645,True,False,True,True,True,0.5,5
7d8944ea53f345fc83ee40a35d1864e1,acled_sub_food_text_conflict_0.5_5,0.0916,800,0.4207,0.3704,1.0,0.5405,0.405,0.3796,1.0,0.5503,True,False,True,True,False,0.5,5
29c6b3f159d245b49e98730e5918a287,acled_sub_food_text_all_pca_0.5_4,0.3269,75,0.3841,0.3704,1.0,0.5405,0.4277,0.3796,1.0,0.5503,True,False,True,False,True,0.5,4
e79a65e2fe904e88bd2d9ccc51d1de97,acled_sub_food_text_all_0.5_4,0.3539,800,0.3728,0.375,0.975,0.5417,0.3868,0.3798,0.9634,0.5448,True,False,True,False,False,0.5,4
d07cbe0bf3b04203b8b3341d05a8cb7e,acled_sub_food_text_all_pca_0.5_5,0.1473,75,0.3914,0.3721,1.0,0.5424,0.4162,0.3796,1.0,0.5503,True,False,True,False,True,0.5,5
d589541bb11e45d7a985755984775010,acled_sub_food_text_all_0.5_5,0.1125,800,0.355,0.3704,1.0,0.5405,0.4058,0.3803,0.9878,0.5492,True,False,True,False,False,0.5,5
c802c02c7379425bad363a76ce90a525,acled_event_food_text_conflict_pca_0.5_4,0.1409,38,0.348,0.3704,1.0,0.5405,0.3902,0.3796,1.0,0.5503,True,False,True,True,True,0.5,4
a9fb8665f7f74beba9a425171ff4a41c,acled_event_food_text_conflict_0.5_4,0.2244,782,0.3958,0.3692,0.9875,0.5374,0.3911,0.3803,0.9878,0.5492,True,False,True,True,False,0.5,4
56d3765c360445b09efd3bb26086f097,acled_event_food_text_conflict_pca_0.5_5,0.1452,38,0.3671,0.3704,1.0,0.5405,0.3875,0.3796,1.0,0.5503,True,False,True,True,True,0.5,5
0fbb704e1e394981a60f6606eeb9b73c,acled_event_food_text_conflict_0.5_5,0.0219,782,0.3554,0.3704,1.0,0.5405,0.4019,0.3796,1.0,0.5503,True,False,True,True,False,0.5,5
1236de84196e4305bb9acbd60e0e7285,acled_event_food_text_all_pca_0.5_4,0.1147,57,0.3673,0.3704,1.0,0.5405,0.4104,0.3767,0.9878,0.5455,True,False,True,False,True,0.5,4
9611a2d67eb24e069175ba093071d723,acled_event_food_text_all_0.5_4,0.0616,782,0.3449,0.3704,1.0,0.5405,0.4415,0.3796,1.0,0.5503,True,False,True,False,False,0.5,4
1809f1d5de5145a6881a9529d0c2b163,acled_event_food_text_all_pca_0.5_5,0.0895,57,0.3727,0.3704,1.0,0.5405,0.4049,0.3796,1.0,0.5503,True,False,True,False,True,0.5,5
