run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_food_rain_0.5_4,4f3964356074440dac2ac4758f1e1605,acled_sub_food_rain,True,True,False,False,False,0.5,4,sub_event_type,0.3460,31,0.3446,0.3404,0.8000,0.4776,0.3936,0.4021,0.9512,0.5652,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,sub_event_type
acled_event_food_rain_0.5_4,25ee35a4204342f299990331f7fd2fac,acled_event_food_rain,True,True,False,False,False,0.5,4,event_type,0.3837,13,0.3347,0.3439,0.6750,0.4557,0.3948,0.3740,0.5976,0.4601,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,event_type
acled_sub_food_rain_1_4,e3fd8c2a6eb642b1ba0ffdb3c8b6a04a,acled_sub_food_rain,True,True,False,False,False,1,4,sub_event_type,0.3432,31,0.3213,0.3178,0.5152,0.3931,0.3693,0.3246,0.6379,0.4302,0.6,1,2,5,3,0,0.1,3,1.0,0.8,1,4,sub_event_type
acled_event_food_rain_1_4,1fd01f06ade44560a86a9731d49b9737,acled_event_food_rain,True,True,False,False,False,1,4,event_type,0.2826,13,0.3020,0.3022,0.6364,0.4098,0.3606,0.2953,0.7586,0.4251,0.6,10,1,1,5,5,0.1,3,0.8,0.8,1,4,event_type
acled_sub_food_text_conflict_pca_0.25_4,e4879781a7834c1bb919023800062fd5,acled_sub_food_text_conflict,True,False,True,True,True,0.25,4,sub_event_type,0.2507,55,0.4954,0.4213,1.0000,0.5928,0.4162,0.4259,1.0000,0.5974,0.6,10,2,5,5,1,0.05,1,0.8,0.6,0.25,4,sub_event_type
acled_sub_food_text_all_pca_0.25_4,227d273192094c27a124b1e487fc9cbd,acled_sub_food_text_all,True,False,True,False,True,0.25,4,sub_event_type,0.0990,74,0.4234,0.4252,1.0000,0.5967,0.4127,0.4259,1.0000,0.5974,0.6,1,1,1,3,0,0.1,1,0.6,0.8,0.25,4,sub_event_type
acled_event_food_text_conflict_pca_0.25_4,620ab2ccc8924990946aaf6399fcf713,acled_event_food_text_conflict,True,False,True,True,True,0.25,4,event_type,0.1420,37,0.4346,0.4151,0.9670,0.5809,0.4434,0.4300,0.9674,0.5953,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.25,4,event_type
acled_event_food_text_all_pca_0.25_4,e962e923ce0c471ba1fcf230f5d9f988,acled_event_food_text_all,True,False,True,False,True,0.25,4,event_type,0.2264,56,0.4831,0.4213,1.0000,0.5928,0.4406,0.4259,1.0000,0.5974,1.0,10,2,3,7,0,0.1,3,0.6,0.8,0.25,4,event_type
acled_sub_food_text_conflict_pca_0.5_4,3deb7c4fc9714bfbaf91a26e2982b27e,acled_sub_food_text_conflict,True,False,True,True,True,0.5,4,sub_event_type,0.1522,55,0.4082,0.3704,1.0000,0.5405,0.3909,0.3796,1.0000,0.5503,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,sub_event_type
acled_sub_food_text_all_pca_0.5_4,89e01c9ad29d45f8b78a69912984e921,acled_sub_food_text_all,True,False,True,False,True,0.5,4,sub_event_type,0.3237,74,0.3830,0.3704,1.0000,0.5405,0.4310,0.3796,1.0000,0.5503,1.0,5,1,5,3,5,0.01,5,0.6,1.0,0.5,4,sub_event_type
acled_event_food_text_conflict_pca_0.5_4,01c3c3fc2e7c4aecaf14fd6e848352db,acled_event_food_text_conflict,True,False,True,True,True,0.5,4,event_type,0.0812,37,0.3990,0.3704,1.0000,0.5405,0.3736,0.3796,1.0000,0.5503,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.5,4,event_type
acled_event_food_text_all_pca_0.5_4,02e000f532fc43b9956ec67b78f79342,acled_event_food_text_all,True,False,True,False,True,0.5,4,event_type,0.3324,56,0.3960,0.3704,1.0000,0.5405,0.4235,0.3796,1.0000,0.5503,1.0,5,1,5,3,5,0.01,5,0.6,1.0,0.5,4,event_type
acled_sub_food_text_conflict_pca_1_4,c8d0763ba08c4db1b1dfba698777a400,acled_sub_food_text_conflict,True,False,True,True,True,1,4,sub_event_type,0.4407,55,0.4214,0.3443,0.6364,0.4468,0.3464,0.3193,0.6552,0.4294,0.8,5,2,5,3,0,0.01,0,0.8,0.6,1,4,sub_event_type
acled_sub_food_text_all_pca_1_4,18f0a639cd344209ba1f754bab1e0e22,acled_sub_food_text_all,True,False,True,False,True,1,4,sub_event_type,0.1578,74,0.3923,0.3101,0.7424,0.4375,0.3382,0.3047,0.6724,0.4194,1.0,5,0,3,3,0,0.1,1,1.0,0.8,1,4,sub_event_type
